CATEGORY,CATEGORY_POPULARITY
3d 프린터,58
cctv,5
cnc 조각기,30
dslr 카메라,10
gps 추적기,12
led 램프,15
pc방 모니터,32
pc주변기기,22
pda,31
pos기,17
usb 마이크,26
uv램프,21
가스레인지,51
가습기,13
가운,15
가위,22
강아지 간식,10
강아지 사료,10
강아지 샴푸,14
강아지 용품,10
개인용 책상,22
거울,14
거품기,15
게이밍 의자,40
계량 저울,42
계산대,28
고데기,15
골프공 공급기,63
골프채들,37
골프클럽 거치대,7
공기 정화기,17
공기청정기,12
귀마개,13
그라인더,18
냄비,18
냅킨,16
냉동 쇼케이스,7
냉동고,8
냉장 쇼케이스,10
냉장 진열대,17
냉장고,8
네일 니퍼,24
네일 드릴,50
네일 샵 의자,46
노트북,18
대형 거울,27
대형 철판,17
대형 컨테이너 박스,21
대형 파라솔,39
덤벨,19
도난 방지 태그,27
도마,21
동전교환기,45
드라이기,23
디저트 몰드,11
뚜껑,16
라면기계,73
라벨 프린터,28
래핑기,15
랜 케이블,18
러그,18
런닝머신,18
레이저 커터,53
"롤러, 밀대",12
립스틱,16
마이크,13
매장 조명,31
매직기,30
매트리스,16
메이크업 도구,23
메이크업 의자,26
무게 저울,21
무소음 마우스,18
무인 계산대,29
문서 세단기,15
미니 화분,21
미용 거울,38
미용 의자,44
미용 타올,25
믹서기,14
밀폐 용기,15
바리깡,19
바벨,28
바코드 스캐너,18
박스 접착기,7
반죽 용기,12
반죽기,25
발전기,26
발효기,40
방향제,16
배개,20
배기 시스템,13
배달용기,17
배변 패드,17
베이킹 시트,8
베이킹 팬,18
보드,19
보드 부츠,69
보온통,20
"복합기(프린터, 복사기, 팩스)",28
부츠 건조기,43
블라인드,26
블렌더,13
비닐백,16
빔 프로젝터,4
빔프로젝터,1
빗,16
빨대,12
빵 봉투,30
뽑기기계,125
사료,12
사무용 의자,8
사이클,20
산업용 청소기,31
상업용 청소기,31
세탁기,9
소파,10
"소파, 테이블",11
손 소독제,18
손톱깎이,17
쇼케이스 냉장고,11
쇼핑 카트,8
수납 선반,7
수납장,13
수납함,17
스마트 도어락,38
스캐너,27
스키 부츠,42
스키 플레이트,72
스키복,24
스탠드 조명,16
"스터디 책상, 의자",53
스티커,15
스피커,21
시럽,18
식기 세척제,5
식기세척기,21
식힘망,17
실리콘 주걱,11
실링칼,12
쓰레기통(대형),67
아이스박스,22
아이스크림 머신,15
아이스크림 스쿱,21
앞치마,14
애견 드라이기,21
애견 미용 테이블,39
업소용 냉장고,9
업소용 튀김기,4
에스프레소 머신,20
에어컨,10
열펌기,42
염색 도구 세트,20
오븐,15
온도계,16
옷장,13
완충재,12
원판,27
웨이트 머신,21
웹캠,15
유산지,23
음료 냉장고,7
음료 자판기,9
의자,7
이동식 버너,22
이동식 접이식 테이블,19
이동식 컨베이어 벨트,27
이불,17
인덕션,18
일회용 수저,20
일회용 용기,13
자동커피머신,18
작업대,5
장갑,11
장난감,17
적재 랙,5
전기 튀김기,0
전기그릴,14
전기오븐,17
전자 저울,24
전자레인지,30
젓가락,16
정밀 공구,24
정수기,26
제빙기,6
지게차,3
지폐교환기,19
진공 포장기,17
진열대,8
짤주머니,12
창고 선반,4
창고 정리함,19
채,16
책상,7
천국의계단,13
초콜릿 템퍼링,46
촬영 배경지,23
촬영용 조명,23
칠판,17
침대 프레임,21
침대커버,14
칼,12
캐노피 텐트,31
캐리어,11
커트 연습용 가발,61
커튼,14
커피 머신,14
커피원두,27
컨벡션 오븐,19
컨실러,14
컴퓨터,22
컴퓨터 데스크,19
케이지,26
케이크 박스,18
케이크 틀,21
코르크보드,22
쿠션,9
쿠키 커터,19
쿠키 포장,18
큐티클 제거제,3
키보드,17
키오스크,26
타이머,23
태블릿,19
테이프,14
테이프 디스펜서,16
테프론 시트,20
튀김기,20
트레이,20
티백,12
틴트,13
파운데이션,13
파워랙,19
팔레트,16
편의점 진열대,38
포장 리본,15
포장기계,27
포장용 박스,11
폴리백,33
푸드트럭,142
프라이팬,15
프린터,17
핸드믹서,18
핸드카트,27
"헤드셋, 마우스",37
헤어 제품,14
"헬멧, 고글",43
현금 보관함,4
현금금고,39
화구,32
화이트보드,21
화장대,16
환풍기,24
회의용 테이블,9
휘핑기,16
